crop_name,soil_ph_min,soil_ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,moisture_requirement,humidity_requirement,temperature_min,temperature_max,soil_type,water_requirement,growing_season,expected_growth_days,yield_category,fertilizer_preference,terrain_type,rainfall_requirement,commercial_priority,region_support,irrigation_type,district_support,district_category,water_source_type,climate_zone,district_priority_score
Tea,4.5,6.0,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,13,30,Red Soil,HIGH,All Season,365,HIGH,Organic,HILL,HIGH,80,"SOUTH_INDIA,HILL_REGION,TROPICAL",RAINFED,Nilgiris,HILL,RAINFED,COOL,65
Coffee (Arabica),6.0,6.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,15,24,Red Soil,HIGH,All Season,365,HIGH,Organic,HILL,HIGH,75,"SOUTH_INDIA,HILL_REGION",DRIP,"Nilgiris,Dindigul",HILL,RAINFED,COOL,60
Coffee (Robusta),5.5,6.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,22,30,Red Soil,HIGH,All Season,365,HIGH,Organic,HILL,HIGH,72,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Dindigul,Theni",HILL,RAINFED,COOL,58
Cocoa,6.0,7.0,MEDIUM,LOW,MEDIUM,HIGH,HIGH,18,32,Loamy,HIGH,All Season,365,MEDIUM,Organic,HILL,HIGH,65,"SOUTH_INDIA,TROPICAL",DRIP,"Tirunelveli,Tenkasi,Kanyakumari,Theni",COASTAL,RIVER,HUMID,55
Cardamom,5.0,6.5,MEDIUM,LOW,MEDIUM,HIGH,HIGH,10,35,Loamy,HIGH,All Season,365,MEDIUM,Organic,HILL,HIGH,70,"SOUTH_INDIA,HILL_REGION",DRIP,"Nilgiris,Theni,Dindigul",HILL,RAINFED,COOL,65
Pepper (Black),5.5,7.0,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,20,35,Loamy,HIGH,All Season,365,MEDIUM,Organic,HILL,HIGH,68,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Tirunelveli,Kanyakumari",HILL,RAINFED,HUMID,62
Clove,5.0,6.5,MEDIUM,LOW,LOW,HIGH,HIGH,20,35,Loamy,HIGH,All Season,365,LOW,Organic,COASTAL,HIGH,55,"SOUTH_INDIA,COASTAL,TROPICAL",RAINFED,"Nilgiris,Kanyakumari,Tenkasi",HILL,RAINFED,COOL,50
Nutmeg,6.0,7.0,MEDIUM,LOW,MEDIUM,HIGH,HIGH,20,30,Loamy,HIGH,All Season,365,LOW,Organic,COASTAL,HIGH,52,"SOUTH_INDIA,COASTAL,TROPICAL",RAINFED,"Kanyakumari,Tirunelveli,Tenkasi",COASTAL,RAINFED,HUMID,45
Vanilla,6.0,7.0,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,20,30,Loamy,HIGH,All Season,365,LOW,Organic,HILL,HIGH,58,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Kanyakumari",HILL,RAINFED,COOL,52
Cinnamon,5.5,7.0,MEDIUM,LOW,LOW,HIGH,HIGH,20,35,Sandy,HIGH,All Season,365,LOW,Organic,COASTAL,HIGH,50,"SOUTH_INDIA,COASTAL,TROPICAL",RAINFED,"Kanyakumari,Tirunelveli,Tenkasi",COASTAL,RAINFED,HUMID,45
Arecanut,6.5,8.0,HIGH,MEDIUM,HIGH,HIGH,HIGH,14,36,Loamy,HIGH,All Season,365,MEDIUM,Mixed,COASTAL,HIGH,72,"SOUTH_INDIA,COASTAL,TROPICAL",DRIP,"Tiruvarur,Nagapattinam,Thanjavur,Tiruchirapalli,Coimbatore",COASTAL,CANAL,HUMID,70
Betel Vine,6.5,8.0,HIGH,MEDIUM,HIGH,HIGH,HIGH,20,40,Loamy,HIGH,All Season,365,MEDIUM,Organic,PLAIN,HIGH,55,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruvarur,Nagapattinam,Thanjavur,Cuddalore",DELTA,CANAL,HUMID,52
Aloe Vera,7.0,8.5,LOW,LOW,MEDIUM,LOW,LOW,13,40,Sandy,LOW,All Season,365,MEDIUM,Organic,DRYLAND,LOW,58,"SOUTH_INDIA,SEMI_ARID",DRIP,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli,Virudhunagar",DRY_ZONE,BOREWELL,DRY,55
Tulsi,6.0,8.0,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,15,38,Loamy,MEDIUM,All Season,90,LOW,Organic,PLAIN,MEDIUM,42,"SOUTH_INDIA,NORTH_INDIA",RAINFED,"Coimbatore,Erode,Salem,Tiruchirapalli,Tirunelveli",SEMI_ARID,RAINFED,HOT,40
Ashwagandha,7.5,8.0,LOW,LOW,LOW,LOW,LOW,20,38,Sandy,LOW,Kharif,150,LOW,Organic,DRYLAND,LOW,50,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi",DRY_ZONE,RAINFED,DRY,45
Senna,6.0,7.5,LOW,LOW,LOW,LOW,LOW,20,38,Red Soil,LOW,Kharif,180,LOW,Organic,DRYLAND,LOW,40,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Tirunelveli,Thoothukudi,Ramanathapuram,Sivagangai,Virudhunagar",DRY_ZONE,RAINFED,DRY,42
Neem,6.0,8.0,LOW,LOW,LOW,LOW,LOW,20,40,Sandy,LOW,All Season,365,LOW,Organic,DRYLAND,LOW,55,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Tirunelveli,Thoothukudi",DRY_ZONE,RAINFED,DRY,50
Moringa,6.0,7.5,HIGH,MEDIUM,HIGH,LOW,LOW,25,40,Sandy,LOW,All Season,365,HIGH,Organic,DRYLAND,LOW,62,"SOUTH_INDIA,SEMI_ARID",DRIP,"Tirunelveli,Thoothukudi,Ramanathapuram,Sivagangai,Virudhunagar,Salem",DRY_ZONE,BOREWELL,DRY,60
Stevia,6.5,7.5,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,15,30,Sandy,MEDIUM,All Season,90,MEDIUM,Organic,PLAIN,MEDIUM,52,"SOUTH_INDIA,NORTH_INDIA",DRIP,"Coimbatore,Erode,Salem",WESTERN_ZONE,BOREWELL,MODERATE,48
Lemongrass,5.5,7.5,HIGH,MEDIUM,LOW,MEDIUM,HIGH,18,35,Sandy,MEDIUM,All Season,180,MEDIUM,Organic,PLAIN,MEDIUM,48,"SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Tiruchirapalli,Erode,Tirunelveli",SEMI_ARID,BOREWELL,HOT,45
Vetiver,6.0,7.5,LOW,LOW,LOW,LOW,LOW,20,42,Red Soil,LOW,All Season,365,LOW,Organic,DRYLAND,LOW,35,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli,Virudhunagar",DRY_ZONE,RAINFED,DRY,38
Marigold,5.5,7.5,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,15,35,Loamy,MEDIUM,All Season,75,MEDIUM,Chemical,PLAIN,MEDIUM,55,"SOUTH_INDIA,NORTH_INDIA",DRIP,"Coimbatore,Erode,Salem,Dharmapuri,Krishnagiri",SEMI_ARID,BOREWELL,MODERATE,52
Rose,5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,15,28,Loamy,MEDIUM,All Season,365,HIGH,Chemical,PLAIN,MEDIUM,65,"SOUTH_INDIA,NORTH_INDIA",DRIP,"Tiruvannamalai,Vellore,Coimbatore,Erode,Dindigul",SEMI_ARID,BOREWELL,MODERATE,58
Jasmine,6.0,8.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,18,35,Sandy,MEDIUM,All Season,365,MEDIUM,Organic,PLAIN,MEDIUM,58,"SOUTH_INDIA,TROPICAL",DRIP,"Madurai,Dindigul,Virudhunagar,Tirunelveli,Erode",SEMI_ARID,BOREWELL,HOT,55
Chrysanthemum,5.5,7.0,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,5,25,Loamy,MEDIUM,Rabi,90,HIGH,Chemical,HILL,MEDIUM,52,"SOUTH_INDIA,HILL_REGION",SPRINKLER,"Nilgiris,Coimbatore,Erode,Krishnagiri",HILL,BOREWELL,MODERATE,48
Strawberry,5.5,6.5,HIGH,HIGH,HIGH,HIGH,MEDIUM,13,25,Sandy,HIGH,Rabi,90,HIGH,Mixed,HILL,MEDIUM,68,"NORTH_INDIA,HILL_REGION,TEMPERATE",DRIP,"Nilgiris,Dindigul,Kodaikanal",HILL,RAINFED,COOL,62
Blueberry,4.0,5.5,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,5,22,Sandy,HIGH,Rabi,365,MEDIUM,Organic,HILL,HIGH,58,"HILL_REGION,TEMPERATE",DRIP,Nilgiris,HILL,RAINFED,COOL,45
Raspberry,5.5,6.5,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,5,22,Loamy,HIGH,Rabi,365,MEDIUM,Organic,HILL,HIGH,55,"HILL_REGION,TEMPERATE",DRIP,Nilgiris,HILL,RAINFED,COOL,42
Mulberry,5.5,7.0,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,18,35,Loamy,MEDIUM,All Season,365,HIGH,Mixed,PLAIN,MEDIUM,60,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Erode,Salem,Namakkal,Dharmapuri,Krishnagiri",INDUSTRIAL_BELT,BOREWELL,MODERATE,58
Fig,6.0,8.0,LOW,LOW,MEDIUM,LOW,LOW,15,38,Sandy,LOW,All Season,365,MEDIUM,Organic,DRYLAND,LOW,55,"SOUTH_INDIA,SEMI_ARID",DRIP,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,BOREWELL,DRY,48
Date Palm,8.0,9.0,LOW,LOW,LOW,LOW,LOW,18,50,Sandy,LOW,All Season,365,HIGH,Organic,DRYLAND,LOW,65,"NORTH_INDIA,SEMI_ARID",DRIP,"Ramanathapuram,Thoothukudi,Tirunelveli,Tenkasi",DRY_ZONE,BOREWELL,DRY,55
Olive,5.5,8.5,LOW,LOW,LOW,LOW,LOW,10,35,Loamy,LOW,All Season,365,HIGH,Organic,PLAIN,LOW,60,"NORTH_INDIA,SEMI_ARID,TEMPERATE",DRIP,"Ramanathapuram,Sivagangai,Tirunelveli",DRY_ZONE,BOREWELL,DRY,45
Avocado,6.0,7.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,18,27,Loamy,MEDIUM,All Season,365,HIGH,Organic,HILL,MEDIUM,62,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Dindigul,Kodaikanal",HILL,RAINFED,COOL,55
Jackfruit,6.0,7.5,MEDIUM,LOW,MEDIUM,HIGH,HIGH,20,35,Loamy,HIGH,All Season,365,HIGH,Organic,PLAIN,HIGH,65,"SOUTH_INDIA,TROPICAL",RAINFED,"Tiruvarur,Nagapattinam,Thanjavur,Kanyakumari,Tirunelveli,Tenkasi",COASTAL,RIVER,HUMID,60
Breadfruit,6.0,7.5,MEDIUM,LOW,MEDIUM,HIGH,HIGH,20,35,Loamy,HIGH,All Season,365,MEDIUM,Organic,COASTAL,HIGH,45,"SOUTH_INDIA,COASTAL,TROPICAL",RAINFED,"Kanyakumari,Tenkasi,Tirunelveli,Nagapattinam",COASTAL,RAINFED,HUMID,38
Starfruit,5.5,6.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,20,35,Loamy,HIGH,All Season,365,MEDIUM,Organic,PLAIN,HIGH,42,"SOUTH_INDIA,TROPICAL",DRIP,"Kanyakumari,Tirunelveli,Tenkasi,Nagapattinam",COASTAL,RAINFED,HUMID,35
Dragon Fruit,6.0,7.5,LOW,MEDIUM,HIGH,LOW,LOW,20,38,Sandy,LOW,All Season,365,HIGH,Organic,DRYLAND,LOW,62,"SOUTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Vellore,Salem,Erode,Ramanathapuram",SEMI_ARID,BOREWELL,DRY,58
Passion Fruit,6.0,7.5,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,18,30,Sandy,MEDIUM,All Season,365,HIGH,Mixed,HILL,MEDIUM,55,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Dindigul,Kodaikanal",HILL,RAINFED,COOL,50
Kiwi,5.5,7.0,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,10,22,Loamy,HIGH,All Season,365,HIGH,Chemical,HILL,HIGH,65,"NORTH_INDIA,HILL_REGION,TEMPERATE",DRIP,Nilgiris,HILL,RAINFED,COOL,55
Litchi,6.0,7.0,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,15,30,Sandy,HIGH,All Season,365,HIGH,Mixed,PLAIN,HIGH,72,"NORTH_INDIA,TROPICAL",DRIP,"Nilgiris,Theni,Krishnagiri",HILL,RAINFED,MODERATE,60
Longan,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,15,30,Loamy,HIGH,All Season,365,MEDIUM,Organic,PLAIN,HIGH,55,"SOUTH_INDIA,TROPICAL",DRIP,"Theni,Tirunelveli,Kanyakumari",COASTAL,RIVER,HUMID,45
Rambutan,5.5,6.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,22,35,Loamy,HIGH,All Season,365,MEDIUM,Organic,COASTAL,HIGH,48,"SOUTH_INDIA,COASTAL,TROPICAL",DRIP,"Kanyakumari,Tenkasi,Tirunelveli",COASTAL,RAINFED,HUMID,40
Sapota (Chikoo),6.0,8.0,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,20,38,Sandy,MEDIUM,All Season,365,MEDIUM,Organic,COASTAL,MEDIUM,58,"SOUTH_INDIA,COASTAL,TROPICAL",DRIP,"Salem,Erode,Tiruchirapalli,Dindigul,Tirunelveli",CENTRAL_ZONE,BOREWELL,HOT,55
Custard Apple,6.5,7.5,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,20,35,Sandy,MEDIUM,All Season,365,MEDIUM,Organic,DRYLAND,MEDIUM,50,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,48
Wood Apple,6.0,8.0,LOW,LOW,LOW,LOW,LOW,20,40,Sandy,LOW,All Season,365,LOW,Organic,DRYLAND,LOW,38,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,32
Indian Gooseberry (Amla),6.0,8.0,LOW,LOW,MEDIUM,LOW,LOW,20,40,Sandy,LOW,All Season,365,MEDIUM,Organic,DRYLAND,LOW,58,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",RAINFED,"Tiruvannamalai,Vellore,Ramanathapuram,Sivagangai,Virudhunagar",DRY_ZONE,RAINFED,DRY,55
Tamarind,6.0,8.0,LOW,LOW,LOW,LOW,LOW,22,40,Red Soil,LOW,All Season,365,MEDIUM,Organic,DRYLAND,LOW,55,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Tirunelveli,Thoothukudi,Ramanathapuram,Sivagangai,Virudhunagar,Erode",DRY_ZONE,RAINFED,DRY,52
Drumstick (Moringa),6.0,7.5,HIGH,MEDIUM,HIGH,LOW,LOW,25,40,Sandy,LOW,All Season,365,HIGH,Organic,DRYLAND,LOW,60,"SOUTH_INDIA,SEMI_ARID",DRIP,"Tirunelveli,Thoothukudi,Ramanathapuram,Sivagangai,Salem,Erode",DRY_ZONE,BOREWELL,DRY,62
Curry Leaf,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,18,40,Sandy,LOW,All Season,365,MEDIUM,Organic,PLAIN,MEDIUM,45,"SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Tiruchirapalli,Tirunelveli",SEMI_ARID,BOREWELL,HOT,42
Fenugreek,6.0,8.0,LOW,MEDIUM,LOW,LOW,LOW,10,30,Loamy,LOW,Rabi,120,LOW,Organic,PLAIN,LOW,55,"NORTH_INDIA,SOUTH_INDIA,SEMI_ARID",RAINFED,"Tiruvannamalai,Vellore,Salem,Erode,Namakkal",SEMI_ARID,BOREWELL,MODERATE,52
Coriander,6.0,7.5,MEDIUM,MEDIUM,LOW,LOW,LOW,15,25,Sandy,LOW,Rabi,45,LOW,Organic,PLAIN,LOW,58,"NORTH_INDIA,SOUTH_INDIA",RAINFED,"Tiruvannamalai,Vellore,Erode,Salem,Namakkal",SEMI_ARID,BOREWELL,MODERATE,55
Cumin,6.5,8.5,LOW,MEDIUM,LOW,LOW,LOW,10,30,Sandy,LOW,Rabi,90,LOW,Organic,DRYLAND,LOW,62,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli,Thoothukudi,Virudhunagar",DRY_ZONE,RAINFED,DRY,60
Fennel,6.0,8.0,MEDIUM,MEDIUM,LOW,LOW,LOW,10,25,Sandy,LOW,Rabi,120,LOW,Organic,PLAIN,LOW,55,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,52
Ajwain,7.0,8.5,LOW,MEDIUM,LOW,LOW,LOW,15,25,Sandy,LOW,Rabi,90,LOW,Organic,DRYLAND,LOW,48,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,45
Dill,5.5,7.0,LOW,MEDIUM,LOW,LOW,LOW,13,24,Loamy,LOW,Rabi,55,LOW,Organic,PLAIN,LOW,42,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Coimbatore,Erode",HILL,BOREWELL,MODERATE,35
Carom Seeds,6.5,8.0,LOW,MEDIUM,LOW,LOW,LOW,15,25,Sandy,LOW,Rabi,90,LOW,Organic,DRYLAND,LOW,45,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi",DRY_ZONE,RAINFED,DRY,42
Mint,6.0,7.0,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,15,30,Loamy,HIGH,All Season,90,MEDIUM,Organic,PLAIN,MEDIUM,60,"NORTH_INDIA,TEMPERATE",DRIP,"Erode,Salem,Coimbatore,Tiruchirapalli,Villupuram",SEMI_ARID,BOREWELL,MODERATE,55
Basil,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,18,35,Loamy,MEDIUM,All Season,60,LOW,Organic,PLAIN,MEDIUM,48,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Tiruchirapalli",SEMI_ARID,BOREWELL,MODERATE,45
Parsley,5.5,7.0,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,7,25,Loamy,HIGH,All Season,90,LOW,Organic,PLAIN,MEDIUM,40,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore",HILL,BOREWELL,COOL,32
Celery,6.0,7.5,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,10,22,Loamy,HIGH,Rabi,90,MEDIUM,Chemical,PLAIN,MEDIUM,45,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Krishnagiri",HILL,BOREWELL,COOL,40
Lettuce,6.0,7.0,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,7,22,Loamy,HIGH,Rabi,60,MEDIUM,Mixed,PLAIN,MEDIUM,50,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Krishnagiri,Dindigul",HILL,BOREWELL,COOL,45
Spinach (Palak),6.0,7.5,HIGH,MEDIUM,LOW,HIGH,MEDIUM,10,24,Loamy,HIGH,Rabi,40,MEDIUM,Organic,PLAIN,MEDIUM,52,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Erode,Salem",HILL,BOREWELL,MODERATE,50
Amaranth Leaves,5.5,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,18,38,Loamy,MEDIUM,Kharif,45,HIGH,Organic,PLAIN,MEDIUM,45,"SOUTH_INDIA,TROPICAL",RAINFED,"Coimbatore,Erode,Salem,Tiruchirapalli,Tirunelveli",SEMI_ARID,RAINFED,HOT,42
Kale,6.0,7.5,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,5,22,Loamy,HIGH,Rabi,65,MEDIUM,Organic,PLAIN,MEDIUM,48,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Krishnagiri",HILL,BOREWELL,COOL,42
Broccoli,6.0,7.0,HIGH,HIGH,HIGH,HIGH,MEDIUM,10,23,Loamy,HIGH,Rabi,80,HIGH,Chemical,PLAIN,MEDIUM,60,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore,Krishnagiri",HILL,BOREWELL,COOL,55
Brussels Sprouts,6.0,7.5,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,7,22,Loamy,HIGH,Rabi,100,MEDIUM,Chemical,HILL,MEDIUM,48,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul",HILL,RAINFED,COOL,40
Sweet Corn,5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,15,32,Loamy,MEDIUM,Summer,75,HIGH,Chemical,PLAIN,MEDIUM,78,"NORTH_INDIA,SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Dharmapuri,Krishnagiri",WESTERN_ZONE,BOREWELL,MODERATE,75
Baby Corn,5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,18,35,Loamy,MEDIUM,Summer,55,HIGH,Chemical,PLAIN,MEDIUM,72,"SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Tiruchirapalli",WESTERN_ZONE,BOREWELL,HOT,68
French Bean,5.5,7.0,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,15,27,Loamy,MEDIUM,All Season,55,MEDIUM,Organic,PLAIN,MEDIUM,55,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore,Krishnagiri",HILL,RAINFED,COOL,52
Cluster Bean,6.0,8.0,LOW,LOW,LOW,LOW,LOW,28,42,Sandy,LOW,Kharif,75,MEDIUM,Organic,DRYLAND,LOW,55,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,50
Sponge Gourd,6.0,7.5,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,22,38,Loamy,HIGH,Summer,65,MEDIUM,Organic,PLAIN,HIGH,45,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Salem,Erode,Villupuram,Cuddalore",CENTRAL_ZONE,BOREWELL,HOT,42
Ash Gourd,5.5,7.5,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,22,35,Loamy,HIGH,Summer,120,HIGH,Organic,PLAIN,HIGH,48,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Thanjavur,Tiruvarur,Erode,Salem",DELTA,CANAL,HUMID,45
Ivy Gourd,6.0,7.5,MEDIUM,LOW,MEDIUM,HIGH,HIGH,25,40,Sandy,HIGH,Summer,60,MEDIUM,Organic,PLAIN,HIGH,42,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Salem,Erode,Tirunelveli,Coimbatore",CENTRAL_ZONE,BOREWELL,HOT,40
Pointed Gourd,5.5,7.0,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,20,38,Loamy,HIGH,Kharif,90,MEDIUM,Mixed,RIVER_BELT,HIGH,45,"NORTH_INDIA,TROPICAL",DRIP,"Tiruvarur,Nagapattinam,Thanjavur,Cuddalore",DELTA,CANAL,HUMID,42
Colocasia (Arbi),5.5,7.0,HIGH,MEDIUM,HIGH,HIGH,HIGH,20,35,Loamy,HIGH,Kharif,180,HIGH,Organic,RIVER_BELT,HIGH,55,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",FLOOD,"Tiruvarur,Nagapattinam,Thanjavur,Tiruchirapalli,Villupuram",DELTA,CANAL,HUMID,52
Elephant Yam,5.5,7.0,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,20,35,Loamy,HIGH,Kharif,270,MEDIUM,Organic,PLAIN,HIGH,50,"SOUTH_INDIA,TROPICAL",RAINFED,"Tiruchirapalli,Erode,Salem,Tirunelveli,Kanyakumari",CENTRAL_ZONE,RIVER,HUMID,48
Yam,5.5,7.5,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,20,35,Loamy,HIGH,Kharif,210,MEDIUM,Organic,PLAIN,HIGH,48,"SOUTH_INDIA,TROPICAL",RAINFED,"Tiruchirapalli,Erode,Salem,Tirunelveli,Kanyakumari",CENTRAL_ZONE,RIVER,HUMID,45
Lotus Root,6.0,7.5,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,22,38,Clay,HIGH,Kharif,180,MEDIUM,Organic,RIVER_BELT,HIGH,42,"NORTH_INDIA,TROPICAL",FLOOD,"Tiruvarur,Nagapattinam,Thanjavur",DELTA,CANAL,HUMID,35
Water Chestnut,6.0,7.5,LOW,MEDIUM,MEDIUM,HIGH,HIGH,20,35,Clay,HIGH,Kharif,180,LOW,Organic,RIVER_BELT,HIGH,38,"NORTH_INDIA,TROPICAL",FLOOD,"Tiruvarur,Nagapattinam,Thanjavur",DELTA,CANAL,HUMID,32
Horseradish,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,7,22,Loamy,MEDIUM,Rabi,210,LOW,Organic,PLAIN,MEDIUM,35,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul",HILL,RAINFED,COOL,28
Turnip,5.5,7.0,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,5,25,Sandy,MEDIUM,Rabi,60,MEDIUM,Mixed,PLAIN,MEDIUM,45,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore",HILL,RAINFED,COOL,40
Kohlrabi,6.0,7.5,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,7,22,Loamy,HIGH,Rabi,70,MEDIUM,Chemical,PLAIN,MEDIUM,42,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore",HILL,RAINFED,COOL,35
Artichoke,6.0,7.5,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,10,25,Loamy,MEDIUM,Rabi,120,MEDIUM,Mixed,PLAIN,MEDIUM,40,"NORTH_INDIA,TEMPERATE",DRIP,"Nilgiris,Coimbatore",HILL,RAINFED,COOL,32
Leek,6.0,8.0,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,5,25,Loamy,MEDIUM,Rabi,100,MEDIUM,Chemical,PLAIN,MEDIUM,42,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Krishnagiri",HILL,BOREWELL,COOL,38
Shallot,5.5,7.0,MEDIUM,HIGH,MEDIUM,LOW,LOW,13,30,Sandy,LOW,Rabi,90,MEDIUM,Chemical,PLAIN,LOW,55,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Vellore,Erode,Salem,Namakkal",SEMI_ARID,BOREWELL,HOT,55
