crop_name,district_support,district_category,climate_zone,crop_duration_days,growth_stage,stage_start_day,stage_end_day,activity,guidance,water_requirement,fertilizer_requirement,monitoring_requirement,expected_outcome,risk_factor,government_recommendation
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Seed Selection,7,10,Hybrid Seed Selection and Treatment,"Select recommended Bt hybrid cotton varieties: MRC 7377, RCH 2 BG II, or NCS 855 for Tamil Nadu conditions. Treat seeds with Imidacloprid 70 WS at 7 g per kg seed for sucking pest protection. Inoculate with Azospirillum at 25 g per kg seed.",LOW,Balanced NPK,Weekly,Uniform Germination,Thrips; Aphid Attack at Seedling Stage,Use only approved Bt cotton hybrids listed by Tamil Nadu Agriculture Department. Avoid unapproved hybrids that may not be suitable for Tamil Nadu climate.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Sowing,10,15,Cotton Sowing,"Sow cotton seeds at 2-3 seeds per hill at a depth of 3-4 cm. Maintain spacing of 90 cm x 60 cm for hybrid cotton. Apply basal dose of 25 kg nitrogen, 50 kg phosphorus, and 25 kg potassium per hectare as furrow application. Gap fill at 7-10 days.",MEDIUM,Phosphorus Rich,Weekly,Healthy Seedling Stand,Poor Germination; Damping Off,Sow hybrid cotton at onset of southwest monsoon (June-July) or northeast monsoon (October-November) as per Tamil Nadu cotton zone recommendation.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Vegetative Growth,20,75,Thinning and Gap Filling,"At 15-20 days, thin to one plant per hill. Gap fill missing hills with raised nursery seedlings. Apply second nitrogen dose at 25 kg urea per hectare at 30 days. Use of plant growth regulator Mepiquat chloride at 2 ml per litre at 45 days controls excess vegetative growth.",MEDIUM,Nitrogen Rich,Weekly,Balanced Vegetative Growth,Excess Vegetative Growth; Aphid,Apply plant growth regulator during squaring stage to prevent excessive vegetative growth and redirect energy toward boll formation.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Pest Monitoring,20,150,Bollworm and Sucking Pest Monitoring,"Install pheromone traps for American bollworm at 5 traps per acre from 40 days. For sucking pests (aphids, jassids, thrips, whitefly), set up 5 yellow sticky traps per acre. If ETL (Economic Threshold Level) is reached: 8-10 moths per trap per week, spray Spinosad 45 SC at 0.3 ml per litre.",MEDIUM,Balanced NPK,Every 3 Days,Pest-Free Crop Stand,American Bollworm; Sucking Pests,Follow Cotton Scouting Program of TNAU: inspect 20 plants per acre twice weekly and record pest incidence to take timely spray decisions.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Disease Monitoring,30,150,Bacterial Blight and Alternaria Leaf Spot Monitoring,"Scout for bacterial blight: angular water-soaked spots on leaves turning brown. Apply Copper Oxychloride 50 WP at 3 g per litre. For Alternaria leaf spot: circular brown spots with concentric rings. Spray Mancozeb 75 WP at 2 g per litre if incidence is above 10%.",MEDIUM,Balanced NPK,Weekly,Healthy Canopy,Bacterial Blight; Alternaria Leaf Spot,Grow disease-tolerant hybrid varieties and avoid overhead irrigation to reduce incidence of leaf diseases in cotton.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Flowering,60,90,Flowering and Boll Setting,"Monitor squaring and flowering from 45 days onwards. Apply potassium nitrate at 2% spray during flowering to improve boll set. Ensure adequate moisture during boll development. Remove young bolls affected by bollworm manually to prevent pest spread.",MEDIUM,Potassium Rich,Weekly,Improved Boll Set,Boll Weevil; Boll Rot,Spray potassium nitrate 2% at squaring and boll development stages to improve boll retention and fibre quality as per TNAU advisory.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Harvest Preparation,160,175,Pre-Harvest Leaf Shedding,"Stop irrigation 3 weeks before harvest. Apply Ethephon 500 ppm as defoliant to promote uniform boll opening if growing for mechanized picking. Monitor open boll percentage. Harvest when 60% bolls are open in the first picking.",LOW,Potassium Rich,Weekly,Uniform Boll Opening,Boll Staining; Fibre Degradation,Avoid defoliant application unless mechanized harvesting is planned. Selective hand picking at 5-7 pickings maintains fibre quality.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Harvest,176,180,Cotton Picking,"Harvest cotton bolls in the morning when dew has dried. Use clean cotton bags to avoid contamination. Grade cotton as Fully Opened, Half Opened, and Stained. Do not mix different grades. Avoid polythene bags as they trap moisture and deteriorate fibre.",LOW,Balanced NPK,Daily,Maximum Lint Yield,Contamination; Fibre Damage,Sell cotton at regulated cotton market yards (APMC) or through Tamil Nadu Government's cotton procurement centres to get MSP (Minimum Support Price).
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Land Preparation,1,5,Field Preparation for Maize,"Plough to 20-25 cm depth. Level field and form ridges at 60 cm spacing. Apply FYM at 12.5 tonnes per hectare. In Dharmapuri red loamy soils, apply lime at 500 kg per hectare to correct soil acidity if pH is below 6.0. Ensure good drainage.",LOW,Organic Compost,Weekly,Good Soil Tilth,Waterlogging; Soil Acidity,Conduct soil pH test before maize cultivation. Apply agricultural lime if pH is below 6.0 as maize grows best at pH 6.5-7.5.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Seed Selection,3,5,Hybrid Seed Selection,"Select high-yielding hybrids recommended for Tamil Nadu: COHM 5, COHM 6, NK 6240, or Pioneer 30V92. Treat seeds with Thiram at 3 g per kg seed and Azospirillum at 25 g per kg seed. Seed rate: 20 kg per hectare for hybrids, 25 kg for composite varieties.",LOW,Balanced NPK,Weekly,Uniform Germination; Healthy Seedlings,Seed-Borne Disease,Use certified hybrid maize seeds from government-approved sources. Avoid farm-saved seeds of hybrids as they show reduced yield in second generation.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Sowing,5,8,Maize Sowing,"Sow seeds at 3-4 cm depth in ridges or flat beds. Maintain spacing of 60 cm between rows and 25 cm between plants. Apply basal fertilizer: 75 kg nitrogen, 75 kg phosphorus, and 75 kg potassium per hectare in furrows. Close furrows after fertilizer application before sowing.",MEDIUM,Balanced NPK,Weekly,Uniform Plant Stand,Poor Emergence; Cutworm,Apply Chlorpyrifos 1.5% dust at 25 kg per hectare in soil before sowing to prevent cutworm damage in Dharmapuri and Salem districts.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Vegetative Growth,10,45,Vegetative Stage Management,"Thin plants to maintain 25 cm spacing at 15 days. Apply first nitrogen top dress at 75 kg urea per hectare at 25 days. Earth up rows at 30 days to provide support. Remove volunteer plants and rogues at 35 days. Ensure weed-free conditions till 40 days.",MEDIUM,Nitrogen Rich,Weekly,Good Canopy Development,Weed Competition; Nutrient Deficiency,Apply herbicide Atrazine 50 WP at 2 kg per hectare as pre-emergence spray within 3 days of sowing to control weeds effectively.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Irrigation Management,8,80,Critical Irrigation Stages,"Critical stages for irrigation: germination, knee-high stage (25-30 days), tasselling (55-60 days), and grain filling (65-75 days). Total water requirement: 400-500 mm. Irrigate at 6-7 day intervals in summer. Avoid waterlogging as maize is sensitive to excess water.",HIGH,Balanced NPK,Weekly,Healthy Growth; Grain Fill,Drought Stress at Tasselling; Waterlogging,Never allow maize to experience water stress during tasselling and silk emergence stage as it directly reduces kernel set and grain yield.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Pest Monitoring,20,80,Fall Armyworm Monitoring,"Scout for Fall Armyworm (FAW) from 15 days: check whorl leaves for ragged holes with wet frass inside. Pull open whorl and check for worms. ETL: one egg mass or 5% plant damage per 20 plants. Apply Emamectin Benzoate 5 SG at 0.4 g per litre into whorl.",MEDIUM,Balanced NPK,Every 3 Days,Early FAW Detection,Fall Armyworm,Report Fall Armyworm outbreak to nearest Agricultural Extension Officer immediately. Tamil Nadu Agriculture Department has emergency spray schedule for FAW management.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Flowering,55,65,Tasselling and Silking Management,"Monitor tasselling (55-60 days) and silk emergence (60-65 days). Ensure no water stress during pollination. Dust maize tassels gently to assist pollination in closed areas. Spray 2% potassium nitrate at silking stage to improve kernel set. Remove barren plants.",HIGH,Potassium Rich,Weekly,Improved Kernel Set,Silk Cut; Poor Pollination,Avoid any pesticide spray during tasselling and silking to prevent disruption of pollination process.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Harvest Preparation,80,85,Maturity Assessment,"Check black layer formation at base of kernel. Milk line should have moved to base of kernel. Husk colour turns from green to brown/pale. Moisture content at physiological maturity is 30-35%. Field dry to 20-22% moisture before mechanical harvesting.",LOW,Potassium Rich,Weekly,Optimum Grain Quality,Pre-Harvest Germination; Aflatoxin,Harvest maize at correct moisture to prevent aflatoxin contamination especially in Dharmapuri and Salem districts where humid post-harvest conditions prevail.
Maize,"Erode,Salem,Dharmapuri,Krishnagiri,Coimbatore",WESTERN_ZONE,HOT,90,Harvest,86,90,Maize Harvesting,"Harvest when grain moisture is 20-22%. Use manual or mechanical combine harvester. Shell cobs immediately after harvest. Dry shelled grain to 12-13% moisture for safe storage. Clean and grade grain before storage. Remove cobs with mold or insect damage.",LOW,Balanced NPK,Daily,Maximum Grain Yield,Harvest Losses; Aflatoxin,Avail custom hiring of maize sheller from agricultural cooperative societies. Tamil Nadu Agriculture Department provides sheller subsidy under farm mechanization scheme.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Land Preparation,1,7,Field Preparation for Tomato,"Plough to 20-25 cm depth. Form raised beds of 120 cm width with 45 cm channel. In Krishnagiri red soil, apply lime at 2 tonnes per hectare to correct pH. Apply FYM at 25 tonnes per hectare and Trichoderma viride at 2.5 kg per hectare. Ensure good drainage.",MEDIUM,Organic Compost,Weekly,Good Soil Structure; Disease Suppression,Soil-Borne Disease; Poor Drainage,Apply Trichoderma viride enriched compost as biological soil treatment to suppress soil-borne pathogens especially damping off and wilt diseases.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Nursery Preparation,3,20,Tomato Nursery Management,"Prepare raised nursery beds. Sow seeds at 5 g per cent metre. Cover with fine sand and mulch with paddy straw. Irrigate with watering can twice daily. Apply Carbendazim 0.1% at 10 days to prevent damping off. Seedlings ready for transplanting at 25-30 days.",HIGH,Phosphorus Rich,Every 3 Days,Healthy Seedling Production,Damping Off; Leaf Miner in Nursery,Use protrays with coco peat medium for nursery to produce healthier transplants. TNAU recommends pro-tray nursery for tomato to avoid transplanting shock.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Transplanting,25,30,Seedling Transplanting,"Transplant 25-30 day old seedlings with ball of earth. Maintain spacing of 75 cm x 60 cm for indeterminate and 60 cm x 45 cm for determinate types. Irrigate immediately. Apply Carbofuran granules at 1 g per plant hole to protect against soil insects. Avoid transplanting during afternoon.",HIGH,Balanced NPK,Daily,Uniform Establishment,Transplanting Shock; Root Rot,Transplant tomato seedlings in the evening to reduce transplanting shock. Water every day for the first week after transplanting.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Vegetative Growth,30,55,Staking and Training,"Stake indeterminate tomato plants with bamboo poles (1.5 m height) at 30-35 days after transplanting. Train plants to single or double stem. Apply first nitrogen dose at 30 kg urea per hectare at 20 days after transplanting. Remove suckers up to first fruiting branch.",MEDIUM,Nitrogen Rich,Weekly,Healthy Vertical Growth; Better Air Circulation,Leaf Curl Virus; Early Blight,Staking is mandatory for indeterminate tomato varieties. Use jute twine for tying to avoid girdling and stem damage.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Pest Monitoring,20,80,Whitefly and Tomato Leaf Curl Virus Monitoring,"Install yellow sticky traps at 5 per acre to monitor whitefly population. Inspect 20 plants per acre twice weekly for leaf curl symptoms (upward curling and yellowing of leaves). If more than 2 plants per 20 show virus symptoms, immediately rogue out and spray Imidacloprid 17.8 SL at 0.5 ml per litre.",MEDIUM,Balanced NPK,Every 3 Days,Early Virus Management,Tomato Leaf Curl Virus; Whitefly,Grow TYLCV-tolerant varieties like PKM-1 and CO-3 in areas with high whitefly pressure in Krishnagiri and Vellore districts.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Disease Monitoring,25,80,Early Blight and Late Blight Monitoring,"Scout for early blight: target-like concentric ring spots on older leaves. For late blight: dark water-soaked irregular spots on leaves with white fungal growth on underside. Apply Mancozeb 75 WP at 2 g per litre for early blight. Apply Metalaxyl-M 8 WP for late blight at 2.5 g per litre.",MEDIUM,Balanced NPK,Weekly,Disease-Free Canopy,Early Blight; Late Blight,Apply protective fungicide spray from 30 days after transplanting on weekly basis in Krishnagiri district where late blight is endemic due to cool night temperatures.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Flowering,45,65,Flowering and Fruit Set,"Apply boron at 0.2% foliar spray at flower initiation to prevent blossom drop. Spray Planofix (NAA) at 10 ppm during flowering to improve fruit set. Ensure soil moisture adequacy as water stress causes blossom end rot. Remove malformed flowers.",MEDIUM,Potassium Rich,Weekly,Improved Fruit Set,Blossom Drop; Blossom End Rot,Apply Calcium Nitrate at 1% foliar spray at fortnightly intervals to prevent blossom end rot especially in sandy soils of Salem district.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Harvest Preparation,75,82,Pre-Harvest Maturity Check,"Harvest tomatoes at breaker stage (first colour break from green to pink/red) for distant markets. For local markets, harvest at red ripe stage. Withhold irrigation 3-4 days before harvest. Grade fruits as Grade I (above 65 g), Grade II (40-65 g), Grade III (below 40 g).",LOW,Potassium Rich,Weekly,Marketable Fruit Production,Cracking; Over-Ripening,Harvest at breaker stage for transportation to Chennai or distant markets. Tamil Nadu government provides cold storage subsidy for vegetable preservation.
Tomato,"Krishnagiri,Vellore,Dharmapuri,Salem,Erode",CENTRAL_ZONE,HOT,90,Harvest,83,90,Tomato Harvesting,"Harvest tomatoes in the morning. Handle carefully to avoid bruising. Use clean plastic crates. Grade and pack in ventilated wooden boxes. Apply Thiabendazole post-harvest wash to extend shelf life. Do not expose harvested fruits to direct sunlight.",LOW,Balanced NPK,Daily,Maximum Market Value,Bruising; Post-Harvest Rot,Contact HOPCOMS (Horticultural Producers' Cooperative Marketing and Processing Society) for better marketing of tomatoes and access to government price stabilisation support.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Land Preparation,1,7,Hill Land Preparation for Potato,"Plough to 25-30 cm depth in hilly terrain of Nilgiris. Form ridges at 60 cm spacing. Apply FYM at 25 tonnes per hectare incorporated into ridges. Apply lime at 2 tonnes per hectare if pH is below 5.5. In Ooty areas, prepare terraced fields to prevent soil erosion.",MEDIUM,Organic Compost,Weekly,Well-Aerated Soil for Tuber Development,Late Blight; Soil Erosion,Follow contour farming practice in Nilgiris hills as recommended by Tamil Nadu Soil Conservation Department to prevent erosion and maintain soil fertility.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Seed Selection,5,7,Seed Potato Selection,"Use certified seed tubers from hills. Preferred varieties for Nilgiris: Kufri Jyoti, Kufri Muthu, Kufri Ooty-1. Select medium-sized tubers (40-60 g) with 2-3 eyes. Cut large tubers into pieces with one eye each. Treat cut pieces with Bordeaux paste to prevent rotting.",LOW,Balanced NPK,Weekly,Healthy Sprouting,Seed-Borne Disease; Cut Surface Infection,Use certified seed potatoes from Tamil Nadu Seed Development Authority to ensure freedom from late blight, virus diseases, and bacterial wilt.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Sowing,7,12,Seed Potato Planting,"Plant sprouted seed tubers at 8-10 cm depth in ridges. Maintain spacing of 60 cm x 25 cm. Apply basal fertilizer: 100 kg nitrogen, 80 kg phosphorus, and 100 kg potassium per hectare. In Nilgiris cool climate, plant from August-October for best results.",MEDIUM,Phosphorus Rich,Weekly,Uniform Tuber Emergence,Poor Sprouting; Frost Damage,Plant potato in cool season (August-October) in Nilgiris and (November-January) in mid-elevation areas of Kodaikanal for maximum yield.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Vegetative Growth,15,50,Earthing Up and Fertilization,"Carry out first earthing up at 20-25 days to cover developing tubers. Apply second nitrogen dose at 50 kg urea per hectare at 30 days. Irrigate at 7-10 day intervals. Maintain weed-free condition. Apply Mancozeb 75 WP preventively from 20th day for late blight protection.",MEDIUM,Nitrogen Rich,Weekly,Healthy Vine Growth,Late Blight; Nutrient Deficiency,Apply second earthing up at 45 days to prevent greening of tubers which develops solanine toxin and reduces market quality.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Disease Monitoring,20,80,Late Blight Monitoring,"Late blight is the most critical disease in Nilgiris. Scout twice weekly for water-soaked irregular lesions on leaves. Under cool humid conditions (below 18°C, RH above 85%), spray Cymoxanil + Mancozeb at 3 g per litre preventively every 7 days. Remove and destroy affected plants.",MEDIUM,Balanced NPK,Every 3 Days,Disease-Free Foliage,Late Blight,Follow TNAU late blight forecasting system for Nilgiris district. Early warning alerts are issued by Tamil Nadu Agriculture Department for timely spray decisions.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Harvest Preparation,85,95,Vine Killing and Maturity Check,"At 80-85 days, check tuber maturity by rubbing skin with thumb. Mature tubers have set skin that does not peel off easily. Remove foliage by mechanical vine killing or Diquat spray at 3 ml per litre to hasten skin set. Wait 10-14 days before harvesting.",LOW,Potassium Rich,Weekly,Good Skin Set; Storage Quality,Green Tuber; Greening,Allow 10-14 days after vine death before harvesting to allow skin to set firmly which reduces storage losses and improves market quality.
Potato,"Nilgiris,Kodaikanal,Dindigul,Ooty",HILL,COOL,100,Harvest,96,100,Potato Harvesting,"Harvest with potato digger or fork. Avoid bruising and cutting. Sort out damaged, diseased, and greened tubers in the field. Grade by size: A grade (above 50 mm), B grade (35-50 mm), C grade (below 35 mm). Cure in shade for 5-7 days before storage or sale.",LOW,Balanced NPK,Daily,Maximum Marketable Yield,Bruising; Greening Post-Harvest,Store potatoes in dark, cool, well-ventilated rooms to prevent greening. Tamil Nadu Horticulture Department provides cold storage subsidy in Nilgiris district.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Land Preparation,1,5,Field Preparation for Sunflower,"Plough to 20-25 cm depth. Apply FYM at 12.5 tonnes per hectare. Form ridges at 60 cm spacing. In Vellore red loamy soils, apply gypsum at 400 kg per hectare to improve calcium and sulphur levels. Ensure good drainage as sunflower is sensitive to waterlogging.",LOW,Organic Compost,Weekly,Good Soil Structure,Waterlogging; Soil Compaction,Deep summer ploughing followed by 2-3 harrowings ensures good tilth and helps in weed control for sunflower cultivation.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Seed Selection,3,5,Hybrid Seed Selection and Treatment,"Select high oil content hybrid varieties: KBSH 44, MSFH 17, or CO 4 for Tamil Nadu conditions. These give oil content of 40-45%. Treat seeds with Thiram 75 WS at 3 g per kg. Inoculate with Azospirillum at 25 g per kg and PSB at 25 g per kg.",LOW,Balanced NPK,Weekly,Good Germination; Enhanced Nutrient Uptake,Seed-Borne Pathogen,Use hybrid sunflower seeds with oil content above 40% for better market value. TNAU recommends KBSH 44 for Tamil Nadu conditions.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Sowing,5,7,Sunflower Sowing,"Sow one seed per hill at 3-4 cm depth. Maintain spacing of 60 cm x 30 cm. Apply basal fertilizer: 60 kg nitrogen, 60 kg phosphorus, and 60 kg potassium per hectare. Seed rate: 5 kg per hectare for hybrids. Avoid sowing in water-stagnated areas.",MEDIUM,Balanced NPK,Weekly,Uniform Plant Stand,Poor Germination; Cutworm,Sow sunflower at the beginning of northeast monsoon (October-November) in Tamil Nadu for best yield and oil content.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Vegetative Growth,10,45,Thinning and Fertilization,"Thin to one plant per hill at 15 days. Apply first top dress nitrogen at 30 kg urea per hectare at 30 days after sowing. Earth up at 30 days. Hand weeding at 20 and 40 days. Apply Boron 0.2% foliar spray at bud stage to improve head formation.",MEDIUM,Nitrogen Rich,Weekly,Healthy Plant Development,Aphid; Boron Deficiency,Apply boron foliar spray mandatorily at bud formation stage as sunflower is highly sensitive to boron deficiency affecting head and kernel development.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Flowering,55,70,Head Initiation and Pollination,"Install bee hives at 4 per acre during flowering for cross-pollination improvement. Shake plants early morning to assist self-pollination. Monitor for head borer (Helicoverpa) larvae inside developing head. Spray Carbaryl 50 WP at 2 g per litre if head borer incidence is above 5%.",MEDIUM,Potassium Rich,Weekly,Improved Seed Set,Poor Pollination; Head Borer,Install honey bee hives near sunflower fields during flowering as cross-pollination by bees can increase seed yield by 30-40%.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Harvest Preparation,85,90,Pre-Harvest Management,"Heads are mature when back of head turns yellow-brown. Shield heads with bags if needed to prevent bird damage. Stop irrigation 10 days before harvest. Monitor for Alternaria blight on heads. Apply Mancozeb spray if needed to protect grain quality.",LOW,Potassium Rich,Weekly,Good Oil Quality and Yield,Bird Damage; Head Blight,Cover sunflower heads with perforated white paper bags when 10% heads show bird damage to prevent significant yield loss.
Sunflower,"Vellore,Tiruvannamalai,Viluppuram,Cuddalore,Salem",CENTRAL_ZONE,HOT,95,Harvest,91,95,Sunflower Harvesting,"Harvest when 90% of heads turn brown and backs are yellow. Cut heads with 10-15 cm of stalk. Thresh and shell seeds. Dry to 9% moisture. Grade seeds and check for oil content. Transport to nearest oil mill or government cooperative.",LOW,Balanced NPK,Daily,Maximum Oil Seed Recovery,Shattering; Post-Harvest Aflatoxin,Contact Tamil Nadu Oilseeds Growers' Cooperative for MSP procurement of sunflower seeds to ensure fair price.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Land Preparation,1,5,Dryland Field Preparation,"Plough to 15-20 cm depth. One deep ploughing and 2-3 cross harrowings. Apply FYM at 10 tonnes per hectare before last harrowing. In Ramanathapuram sandy loam soils apply 500 kg gypsum per hectare. Form field furrows for moisture conservation under rainfed conditions.",LOW,Organic Compost,Weekly,Moisture Retention in Sandy Soils,Wind Erosion; Moisture Loss,Follow dryland agriculture practices recommended by TNAU for Ramanathapuram district: tie ridges at 50 m intervals for rainwater conservation.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Seed Selection,3,5,Hybrid Seed Selection,"Select drought-tolerant hybrids: CO 9, COHH 1, or TNAU Hybrid 1 for dry zone areas. These hybrids can withstand hot dry conditions. Treat seeds with Thiram 75 WS at 3 g per kg and Azospirillum at 25 g per kg. Seed rate: 3-4 kg per hectare for hybrids.",LOW,Balanced NPK,Weekly,Uniform Germination,Poor Germination in Dry Conditions,Select Pearl Millet hybrids with downy mildew resistance for cultivation in Ramanathapuram and Sivagangai districts where disease is prevalent.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Sowing,5,7,Pearl Millet Sowing,"Sow at onset of rainy spell. Sow 3-4 seeds per hill at 3-4 cm depth on top of ridges. Maintain spacing of 45 cm x 15 cm. Apply 20 kg nitrogen and 40 kg phosphorus per hectare as basal. Thin to 2 plants per hill at 10 days. Gap fill missing hills.",LOW,Phosphorus Rich,Weekly,Uniform Stand Establishment,Drought; Soil Crust Formation,Sow Pearl Millet immediately after receipt of 20-25 mm rainfall for best germination under rainfed conditions.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Vegetative Growth,10,40,Growth and Fertilization,"Apply first nitrogen top dress at 20 kg urea per hectare at 20 days after sowing when adequate soil moisture is present. Hand weed at 20 and 35 days. Scout for shoot fly and stem borer. Apply Monocrotophos 36 SL at 1.5 ml per litre if shoot fly dead hearts exceed 5%.",LOW,Nitrogen Rich,Weekly,Healthy Vegetative Growth,Shoot Fly; Stem Borer,Apply nitrogenous fertilizer only when adequate soil moisture is available to prevent fertilizer burn in dry conditions.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Pest Monitoring,10,70,Shoot Fly and Stem Borer Monitoring,"Inspect plants daily in the first 20 days for shoot fly damage (dead heart with foul smell). Count dead hearts per 20 plants. Apply Fipronil 0.3% GR at 25 kg per hectare in soil at sowing time. For stem borer, use pheromone traps at 5 per acre.",LOW,Balanced NPK,Every 3 Days,Early Pest Detection; Reduced Crop Losses,Shoot Fly; Stem Borer,Integrated pest management using seed treatment with Chlorpyrifos followed by soil application of Carbofuran reduces shoot fly and stem borer damage effectively.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Flowering,55,65,Heading and Grain Formation,"Monitor ear head emergence at 50-55 days. Ensure soil moisture during heading and grain filling. Apply second nitrogen at 20 kg urea per hectare at 25 days if available. Scout for ergot (pink sticky substance on ear heads) and blast (orange powder on spikelets).",LOW,Potassium Rich,Weekly,Good Grain Formation,Ergot; Blast; Mildew,Scout for downy mildew (green ear disease) at early stage and destroy affected plants immediately to prevent spread in Ramanathapuram district.
Pearl Millet,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,HOT,80,Harvest,75,80,Pearl Millet Harvesting,"Harvest when ear heads turn brown and grains are hard. Cut ear heads and dry in sun for 3-5 days. Thresh by hand or using mechanical thresher. Dry grain to safe moisture of 12%. Winnow and clean grain. Store in gunny bags in dry ventilated stores.",LOW,Balanced NPK,Daily,Maximum Grain and Fodder Yield,Seed Shattering; Bird Damage,Erect bird scaring devices from ear head emergence to prevent sparrow and parrot damage which can cause 15-20% yield loss in Pearl Millet.
Finger Millet,"Dharmapuri,Salem,Krishnagiri,Erode,Namakkal",CENTRAL_ZONE,HOT,120,Land Preparation,1,7,Field Preparation for Finger Millet,"Plough to 15-20 cm depth. Apply FYM at 12.5 tonnes per hectare. Level field. Finger millet can be sown by transplanting or direct seeding. For transplanting, prepare nursery beds and main field simultaneously. In Dharmapuri red soil, apply lime at 500 kg per hectare if pH is below 6.0.",LOW,Organic Compost,Weekly,Good Soil Condition,Soil Acidity; Poor Germination,Finger Millet is highly tolerant to drought and soil acidity but lime application improves availability of nutrients in acidic soils of Dharmapuri district.
